ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p
XLRE,60,primary,d0_p5,car_adj,surprise_orth_bps,HC1,-0.23890961842347264,0.031228739030701225,-2.354856826951169,1.5939746645618813,-5.4789897617617696,0.7692761078594321,-1.4773489687795152,0.13958211787855718
SPY,202,primary,d0_p5,car_raw,surprise_orth_bps,HC1,0.27594246686589263,0.03537778756788523,-2.2711990010615017,0.9151327853553813,-4.064826301429873,-0.4775717006931305,-2.4818245367304894,0.013071162163549838
QQQ,200,primary,d0_p5,car_adj,surprise_orth_bps,HC1,0.22917876646421081,0.0398167295472891,-2.251548839160554,0.9077393634705616,-4.030685298912168,-0.4724123794089399,-2.480391321306375,0.01312382639780702
IEF,171,primary,d0_p5,car_raw,surprise_orth_bps,HC1,0.17603250310057938,0.10504814324652023,-1.8281230042975063,0.47864080198059267,-2.7662417377108355,-0.890004270884177,-3.819404857949471,0.00013377404437116158
GLD,152,primary,d0_p5,car_raw,surprise_orth_bps,HC1,-0.011967039580355054,0.010451114148486207,-1.790806260812048,2.1939972764894686,-6.090961904910373,2.509349383286277,-0.8162299379320329,0.4143686371086909
XLI,201,primary,d0_p5,car_adj,surprise_orth_bps,HC1,0.059640401840518054,0.0012264891048993087,-0.2172358224177197,0.4974958478750795,-1.1923097667110931,0.7578381218756538,-0.4366585637761288,0.6623589839680419
XLY,201,primary,d0_p5,car_adj,surprise_orth_bps,HC1,-0.03386619274597198,0.00034344720148882235,-0.1370768478601238,0.6278619712629427,-1.367663698797814,1.0935100030775664,-0.21832322092130232,0.8271772831384956
XLV,201,primary,d0_p5,car_adj,surprise_orth_bps,HC1,-0.06174270583916977,5.678605995940167e-05,0.06514615331824043,0.7570688575851329,-1.4186815413655032,1.5489738480019843,0.08605049945660287,0.9314262733050797
XLU,201,primary,d0_p5,car_adj,surprise_orth_bps,HC1,-0.2001355078715084,0.0011996703289895994,0.38928871485659455,0.8460160532277387,-1.2688722798124947,2.047449709525684,0.46014341379383034,0.6454132842600433
XLE,201,primary,d0_p5,car_adj,surprise_orth_bps,HC1,-0.029575910386176935,0.001321987313317119,0.5542057384916641,1.2755439248495943,-1.9458144149124061,3.054225891895734,0.4344858124403777,0.6639356952072628
XLB,201,primary,d0_p5,car_adj,surprise_orth_bps,HC1,-0.07025065307928482,0.0039072209288081305,0.678644994893754,0.7726685691921064,-0.8357575727088692,2.1930475624963774,0.8783131888014257,0.37977378043132426
XLF,201,primary,d0_p5,car_adj,surprise_orth_bps,HC1,-0.10551909860770482,0.016860816188949967,1.355915623397632,0.9414991472119888,-0.48938879661304063,3.2012200434083047,1.4401665975086992,0.14982027096654946
XLP,201,primary,d0_p5,car_adj,surprise_orth_bps,HC1,-0.19398242431360757,0.021406923854925375,1.4532342314749662,0.8804844412114993,-0.2724835622474468,3.178952025197379,1.6504939365826772,0.09884195245284773
