ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p,sample,dep_mode
XLK,213,baseline,m5_p5,car_adj,surprise_bps,HC1,0.20552446092793136,0.05269791184993067,-2.674496549046965,1.152053211660475,-4.932479352175196,-0.4165137459187347,-2.321504355855374,0.020259639281406137,baseline,car_adj
XLY,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.03542300131671319,0.001718920318682371,-0.4024914250272485,0.8300834011118639,-2.029424995371017,1.2244421453165202,-0.48488070534614613,0.6277609698248354,baseline,car_adj
SPY,214,baseline,m5_p5,car_adj,surprise_bps,HC1,0.0,,0.0,0.0,0.0,0.0,,,baseline,car_adj
XLV,213,baseline,m5_p5,car_adj,surprise_bps,HC1,0.11915538807283142,0.00016117343547539242,0.1175913733768001,0.9406086043266162,-1.7259676146518539,1.9611503614054542,0.12501626376359168,0.9005106747317404,baseline,car_adj
XLI,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.005268703702631147,0.0038977974421194883,0.5085177815836976,0.9317956178217162,-1.3177680702991146,2.33480363346651,0.5457396148443727,0.5852449368184993,baseline,car_adj
XLB,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.16032938222132764,0.002829630073559297,0.6499209535838579,0.8936046277166962,-1.1015119331591898,2.4013538403269057,0.7273025826248356,0.4670406163850698,baseline,car_adj
XLRE,72,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.8435045112457047,0.00410535720104066,1.0328434685206465,3.431982607931898,-5.693718838593722,7.759405775635014,0.30094659166790905,0.7634552211846217,baseline,car_adj
XLF,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.1339002629957401,0.011431460920505954,1.3050644433084764,1.2411081725504522,-1.127462875808733,3.737591762425686,1.0515315845729991,0.2930145110514515,baseline,car_adj
XLU,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.07302486500751473,0.016233337647970303,1.6483699658572062,1.0888746813948798,-0.485785193354284,3.782525125068696,1.5138289043010873,0.1300692396537169,baseline,car_adj
XLP,213,baseline,m5_p5,car_adj,surprise_bps,HC1,0.04213002261541593,0.01960073818529784,1.6620610020763218,1.094038956944998,-0.482215951219641,3.8063379553722845,1.5191972749466551,0.12871284705159736,baseline,car_adj
XLE,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.3317624541592824,0.017856333478621034,2.884228851123109,2.5034430908366154,-2.022429444262292,7.79088714650851,1.1521048198300528,0.2492780027883965,baseline,car_adj
SPY,202,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.3145800165759819,0.09273537642730822,-5.598429214912473,1.5965656740453174,-8.72764043499421,-2.4692179948307356,-3.5065448956618153,0.00045396484731395604,baseline,auto
TLT,171,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.234705067259824,0.06354230452822185,-3.690016694975072,1.1134509437062203,-5.8723404431913995,-1.507692946758745,-3.314036164622147,0.000919596124218415,baseline,auto
GLD,152,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.06659527730800974,0.02736797877081354,-3.5438656704284908,2.3750062096167404,-8.198792304336289,1.1110609634793065,-1.4921500651572492,0.13565980956803225,baseline,auto
XLRE,60,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.35377920643321725,0.03323398902899921,-3.293386530066831,2.491732745180896,-8.177092969720507,1.5903199095868445,-1.3217254283937006,0.18625959797617364,baseline,auto
QQQ,200,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.0205034768664306,0.030374521715028302,-2.5908295481016212,1.4373678102063112,-5.408018688643195,0.22635959243995293,-1.8024819602226578,0.07146961043705903,baseline,auto
XLK,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.14207575348336743,0.03605840903027202,-2.499720993757977,1.3848025013215979,-5.21388402204929,0.21444203453333532,-1.8051101087500545,0.07105745352793742,baseline,auto
IEF,171,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.20857284283556593,0.07609639621712938,-1.9684946103190963,0.543315948058327,-3.0333743007396516,-0.903614919898541,-3.623112145619866,0.0002910795432772307,baseline,auto
XLE,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.035593801854357954,0.0017819439460128317,-0.8461469432592686,1.443683459166627,-3.67571452830206,1.983420641783522,-0.5861028176825624,0.5578064229171324,baseline,auto
XLI,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.06523174874085814,0.004820371428172154,-0.5776382970162152,0.6018611665966478,-1.7572645072389066,0.6019879132064759,-0.9597533934322329,0.33717934391964144,baseline,auto
XLY,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.025077345404201083,0.0010947779331553775,-0.3684361446075852,1.0078953810672395,-2.3438747916836484,1.6070025024684778,-0.3655499881520003,0.7147008994591775,baseline,auto
XLF,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.02452905771138611,9.81988455406313e-06,0.04160913332976108,1.0044404318562525,-1.927057937724352,2.0102762043838744,0.04142518760705946,0.9669569332214928,baseline,auto
XLB,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.16066451306778112,0.0011139195086538045,0.46654211239990145,1.1117573965458256,-1.712462344375932,2.645546569175735,0.4196438124445354,0.6747456771919969,baseline,auto
XLV,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.10226924331108202,0.008661592784118155,0.9624960539272694,0.9173453845848464,-0.8354678612430743,2.7604599690976133,1.0492188330601961,0.294077412705275,baseline,auto
XLU,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.029139480502652873,0.010532257038838977,1.4312275407265533,0.9008539274404275,-0.33441371238814366,3.1968687938412503,1.5887454082517711,0.11211788274779852,baseline,auto
XLP,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.014712396232822111,0.053636886495186054,3.073210541959951,1.060722587007747,0.9942324738366131,5.1521886100832885,2.897280193334382,0.003764134067280632,baseline,auto
QQQ,200,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.3120261141853995,0.09142458792477981,-8.211900324221949,2.353814485753134,-12.825291942586759,-3.598508705857139,-3.488762761010218,0.00048526162223482976,baseline,car_raw
XLK,201,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.415886497887679,0.09816404074260421,-8.101174102949555,2.2665585053988755,-12.543547142384284,-3.6588010635148263,-3.5742179536300513,0.00035127623649182675,baseline,car_raw
XLE,201,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.23821694254995332,0.060672976501638276,-6.447600052450843,2.2934145141380498,-10.942609901782847,-1.952590203118839,-2.8113539932287774,0.00493334756277629,baseline,car_raw
XLI,201,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.3390424931451699,0.0920424385851869,-6.1790914062077915,1.7317239841579908,-9.573208046321664,-2.7849747660939186,-3.5681733710076355,0.0003594786219924915,baseline,car_raw
XLY,201,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.2487333990001106,0.0641978238925981,-5.9698892537991615,2.1123121215757705,-10.109944936195065,-1.829833571403259,-2.826234434211202,0.004709877990885605,baseline,car_raw
XLRE,60,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.011230825760406127,0.05955802236610597,-5.744323837204299,4.0245619392524805,-13.63232029168984,2.14367261728124,-1.4273165437407198,0.15348867412246506,baseline,car_raw
SPY,202,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.3145800165759819,0.09273537642730822,-5.598429214912473,1.5965656740453174,-8.72764043499421,-2.4692179948307356,-3.5065448956618153,0.00045396484731395604,baseline,car_raw
