meeting_id,meeting_date,announcement_timestamp,scheduled,emergency,target_before,target_after,target_after_asof,raw_change_bps,surprise_bps,surprise_orth_bps,surprise_source,date_validated_official,official_source,official_release_title,hf_tnote02_bps,hf_tnote10_bps,hf_tbond_bps
FOMC19911030,1991-10-30,1991-10-30 11:30:00,False,True,5.25,5.0,1991-11-04,-25.0,0.21732410272208091,1.735964666800953,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.47904011006455705,-0.21344823708035768,-0.3037135665205602
FOMC19911106,1991-11-06,1991-11-06 08:45:00,True,False,5.0,4.75,1991-11-06,-25.0,-9.267046927858557,-7.577055410452931,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-9.3,-4.497376085090816,-3.3900109383545587
FOMC19911106,1991-11-06,1991-11-06 11:30:00,True,False,5.0,4.75,1991-11-11,-25.0,2.33747721838448,4.027468735790106,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.7968146462775808,0.8568313237756235,0.0
FOMC19911206,1991-12-06,1991-12-06 11:30:00,False,True,4.75,4.5,1991-12-11,-25.0,2.321737260011379,6.287822513293739,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.792213288192975,0.0,0.29938033280568316
FOMC19911218,1991-12-18,1991-12-18 11:30:00,True,False,4.5,4.5,1991-12-19,0.0,1.815705670472037,6.368728411152142,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.790701364646144,0.0,0.0
FOMC19911220,1991-12-20,1991-12-20 08:30:00,False,True,4.5,4.0,1991-12-20,-50.0,-28.710512028691138,-24.01271022674902,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-16.550301491589973,-7.263858217091103,-4.54719987712865
FOMC19911220,1991-12-20,1991-12-20 11:30:00,False,True,4.5,4.0,1991-12-25,-50.0,0.5298239543458196,5.2276257562879405,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-0.7870517296096478,-0.20711150867973052,0.4390250926334786
FOMC19920206,1992-02-06,1992-02-06 11:30:00,True,False,4.0,4.0,1992-02-11,0.0,0.6400662454748142,2.049629324233254,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.47360347016504434,-0.8363789237668161,-0.5939323107831396
FOMC19920401,1992-04-01,1992-04-01 11:30:00,True,False,4.0,4.0,1992-04-06,0.0,2.739238740627633,2.430913231895523,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.7994390644017569,0.21572739556356266,0.0
FOMC19920409,1992-04-09,1992-04-09 11:30:00,False,True,4.0,3.75,1992-04-14,-25.0,-24.21526964537824,-22.70709617805845,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-15.556260910966513,-4.912985462462251,-3.9593302596457174
FOMC19920520,1992-05-20,1992-05-20 11:30:00,True,False,3.75,3.75,1992-05-25,0.0,3.417866853771607,3.316453257521648,BauerSwanson2023_MPS_FRBSF,False,unmatched,,3.308912985982545,-0.8390967325941604,-1.3408928329756589
FOMC19920702,1992-07-02,1992-07-02 09:15:00,True,False,3.75,3.25,1992-07-07,-50.0,4.613228214240481,6.878341624164795,BauerSwanson2023_MPS_FRBSF,False,unmatched,,2.349568988312444,1.8544905913415197,1.024658271135318
FOMC19920819,1992-08-19,1992-08-19 11:30:00,True,False,3.25,3.25,1992-08-24,0.0,0.6373919200486274,0.2137745995616449,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.7743180376400931,0.3960597826086956,0.0
FOMC19920904,1992-09-04,1992-09-04 11:30:00,False,True,3.25,3.0,1992-09-09,-25.0,-0.7754693469872179,2.253774711565291,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-0.776244846178243,1.388300743139453,1.5280250996353768
FOMC19921007,1992-10-07,1992-10-07 11:30:00,True,False,3.0,3.0,1992-10-12,0.0,1.6775132335931249,2.6620361899798177,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.7746761829236056,0.398835415595425,-0.7141806722689076
FOMC19921118,1992-11-18,1992-11-18 11:30:00,True,False,3.0,3.0,1992-11-23,0.0,1.134511220617771,1.619668555998073,BauerSwanson2023_MPS_FRBSF,False,unmatched,,1.0964091173515258,-0.2034460184140515,0.14358240290104018
FOMC19921223,1992-12-23,1992-12-23 11:30:00,True,False,3.0,3.0,1992-12-28,0.0,0.24709312832808839,-0.2844573578154298,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.7852647167715662,-0.203065347638289,0.0
